time,latitude,longitude,depth,mag,nst,gap,dmin,rms,net,id,place,horizontalError,magNst,locationSource
2020-02-15T20:02:38.880Z,18.0066,-66.7993,15,2.28,12,168,0.0859,0.19,pr,pr2020046037,"2km SSE of Magas Arriba, Puerto Rico",0.58,11,pr
2020-02-15T19:40:53.890Z,60.2466,-151.0073,48.3,2.1,,,,0.52,ak,ak02024e9vxx,"21km SE of Cohoe, Alaska",,,ak
2020-02-15T19:29:50.420Z,35.6791667,-118.4496667,11.08,1.13,17,112,0.02571,0.15,ci,ci39072887,"3km S of Wofford Heights, CA",0.57,13,ci
2020-02-15T19:28:05.250Z,39.8013344,-123.4588318,5.93,2.33,19,76,0.1217,0.09,nc,nc73341530,"13km N of Laytonville, CA",0.26,18,nc
2020-02-15T19:20:13.192Z,23.8176,121.6003,11.31,5.1,,77,0.354,0.79,us,us70007qzb,"17km S of Hualian, Taiwan",3.1,134,us
2020-02-15T19:19:58.040Z,17.9195,-66.905,9,2.21,12,220,0.0613,0.11,pr,pr2020046036,"8km SSE of Guanica, Puerto Rico",0.88,5,pr
2020-02-15T19:01:22.460Z,35.5255,-117.3693333,8.78,1.1,20,108,0.003956,0.14,ci,ci39072855,"27km S of Trona, CA",0.33,15,ci
2020-02-15T18:55:38.960Z,33.9531667,-117.1448333,14.57,1.17,34,43,0.06256,0.18,ci,ci39072839,"8km ENE of Moreno Valley, CA",0.24,25,ci
2020-02-15T18:52:49.957Z,40.8537,144.9408,29.34,4.5,,82,3.696,0.73,us,us70007qz1,"240km SSE of Kushiro, Japan",8.3,86,us
2020-02-15T18:48:21.450Z,37.3093338,-122.3556671,3.64,1.43,7,163,0.1108,0.03,nc,nc73341515,"14km SW of Portola Valley, CA",0.51,6,nc
2020-02-15T18:45:51.915Z,60.557,-150.8467,35.4,1.4,,,,1.15,ak,ak02024dpitz,"5km WNW of Sterling, Alaska",,,ak
2020-02-15T18:35:11.350Z,17.9418,-67.0035,9,2.17,11,228,0.1242,0.1,pr,pr2020046035,"5km SE of La Parguera, Puerto Rico",0.66,5,pr
2020-02-15T18:12:54.515Z,60.3928,-151.2359,31.9,1.4,,,,0.6,ak,ak02024digek,"4km SE of Kalifornsky, Alaska",,,ak
2020-02-15T18:12:22.530Z,17.8715,-66.8643,10,2.4,12,245,0.1047,0.09,pr,pr2020046034,"12km SSE of Guanica, Puerto Rico",0.65,7,pr
2020-02-15T18:08:44.750Z,17.801,-66.9008,3,2.67,9,267,0.1754,0.15,pr,pr2020046033,"18km S of Guanica, Puerto Rico",0.94,0,pr
2020-02-15T17:46:34.640Z,35.5670013,-120.8466644,5.51,2.05,24,101,0.07136,0.04,nc,nc73341490,"13km W of Templeton, CA",0.27,18,nc
2020-02-15T17:39:24.140Z,17.9243,-66.8216,13,2.51,12,214,0.0768,0.18,pr,pr2020046032,"7km S of Indios, Puerto Rico",0.93,3,pr
2020-02-15T17:35:12.640Z,19.4664993,-155.4348297,0.14,2.71,59,71,0.05314,0.26,hv,hv71384507,"22km WNW of Volcano, Hawaii",0.34,34,hv
2020-02-15T17:12:37.640Z,17.773,-66.8973,5,2.49,8,249,0.2029,0.21,pr,pr2020046031,"22km S of Guanica, Puerto Rico",1.14,0,pr
2020-02-15T17:05:26.790Z,19.2134991,-155.4248352,32.72,1.99,32,151,0.03518,0.13,hv,hv71384477,"5km E of Pahala, Hawaii",0.78,3,hv
2020-02-15T16:58:18.487Z,38.6547,-118.7863,14.1,1.5,5,152.41,0.46,0.1415,nn,nn00717209,"20km NW of Hawthorne, Nevada",,3,nn
2020-02-15T16:58:12.250Z,17.9075,-66.8536,9,2.73,9,232,0.0723,0.07,pr,pr2020046030,"8km SSE of Maria Antonia, Puerto Rico",0.79,2,pr
2020-02-15T16:50:43.774Z,2.8813,127.1735,10,4.8,,176,2.104,1.18,us,us70007qxh,"157km NW of Tobelo, Indonesia",11.1,15,us
2020-02-15T16:45:37.270Z,38.8320007,-122.8073349,2.35,1.01,24,45,0.008855,0.01,nc,nc73341450,"7km W of Cobb, CA",0.22,4,nc
2020-02-15T16:44:32.330Z,35.9993324,-120.5621643,3.74,1.11,10,180,0.02304,0.05,nc,nc73341445,"16km NW of Parkfield, CA",1.42,2,nc
2020-02-15T16:43:17.820Z,17.9795,-66.7253,14,2.84,12,193,0.1348,0.09,pr,pr2020046029,"1km SSW of Tallaboa, Puerto Rico",0.7,7,pr
2020-02-15T16:25:30.440Z,33.675,-117.3725,7.35,1,27,52,0.0516,0.17,ci,ci39072735,"4km W of Lake Elsinore, CA",0.24,20,ci
2020-02-15T16:04:46.567Z,59.8367,-151.7966,53.5,1.3,,,,0.18,ak,ak02024c9uuo,"6km NNE of Anchor Point, Alaska",,,ak
2020-02-15T15:47:16.859Z,57.6218,-154.2592,44.8,2.7,,,,0.6,ak,ak02024bxkq4,"19km WNW of Larsen Bay, Alaska",,,ak
2020-02-15T15:45:26.060Z,33.6699982,-117.3759995,8.07,1.33,35,53,0.04205,0.15,ci,ci39072703,"4km W of Lake Elsinore, CA",0.27,8,ci
2020-02-15T15:43:26.810Z,33.6665,-117.3771667,7.76,2.33,84,31,0.04356,0.24,ci,ci39072695,"4km NW of Lakeland Village, CA",0.21,24,ci
2020-02-15T15:38:39.490Z,37.6643333,-118.8690033,3.36,1.07,12,159,0.02973,0.03,nc,nc73341425,"10km ENE of Mammoth Lakes, CA",0.61,11,nc
2020-02-15T15:36:41.443Z,1.601,126.5726,10,5.4,,99,1.144,1.24,us,us70007qwf,"126km NW of Kota Ternate, Indonesia",7,15,us
2020-02-15T15:35:31.240Z,17.9243,-66.8611,11,2.71,8,226,0.0539,0.13,pr,pr2020046028,"6km SSE of Maria Antonia, Puerto Rico",1.04,2,pr
2020-02-15T15:33:29.510Z,47.85533333,-122.046,25.53,1.29,9,86,,0.1,uw,uw61574472,"4km ENE of Cathcart, Washington",0.45,4,uw
2020-02-15T14:59:53.260Z,35.611,-117.5906667,4.16,1.01,13,114,0.1509,0.12,ci,ci39072671,"8km E of Ridgecrest, CA",0.34,12,ci
2020-02-15T14:35:54.840Z,18.9481,-67.6696,28,3.58,15,188,0.595,0.64,pr,pr2020046027,"81km NW of San Antonio, Puerto Rico",3.44,6,pr
2020-02-15T14:32:00.660Z,35.003,-118.877,12.5,2.25,45,25,0.09543,0.22,ci,ci39072663,"8km NE of Grapevine, CA",0.3,26,ci
2020-02-15T14:21:34.090Z,36.31783333,-97.30183333,7.77,2.34,96,32,0,0.24,ok,ok2020dfib,"3km NNW of Perry, Oklahoma",,43,ok
2020-02-15T14:17:48.630Z,37.6694984,-118.8661652,4.21,1.34,10,170,0.03465,0.03,nc,nc73341390,"11km ENE of Mammoth Lakes, CA",1.16,10,nc
2020-02-15T14:03:01.555Z,59.752,-144.5695,38.3,2,,,,0.67,ak,ak02024b2ogb,"105km ENE of Middleton Island, Alaska",,,ak
2020-02-15T13:56:50.435Z,58.5282,-153.7356,73.4,1.9,,,,0.39,ak,ak02024aspk7,"108km NW of Kodiak Station, Alaska",,,ak
2020-02-15T13:49:46.252Z,40.1519,50.4296,10,4.6,,93,4.359,0.84,us,us70007qvu,"26km SSE of Zyrya, Azerbaijan",8.3,48,us
2020-02-15T13:33:51.476Z,60.5348,-141.818,0,2.1,,,,0.81,ak,ak02024ans67,"62km NNE of Cape Yakataga, Alaska",,,ak
2020-02-15T13:32:11.210Z,19.2041664,-155.4538269,36.51,1.71,45,153,0.06128,0.11,hv,hv71384297,"2km E of Pahala, Hawaii",0.68,5,hv
2020-02-15T13:30:33.730Z,17.9853,-66.8125,15,2.78,12,183,0.0675,0.25,pr,pr2020046026,"1km SE of Indios, Puerto Rico",0.93,3,pr
2020-02-15T13:27:05.920Z,19.1914997,-155.4600067,35.45,2.04,54,116,0.03595,0.15,hv,hv71384292,"2km SE of Pahala, Hawaii",0.63,15,hv
2020-02-15T13:19:50.340Z,17.9235,-66.9941,7,2.13,9,235,0.126,0.08,pr,pr2020046025,"7km SE of La Parguera, Puerto Rico",0.81,5,pr
2020-02-15T13:01:52.946Z,63.0445,-149.5693,65.1,1,,,,0.61,ak,ak02024agxql,"49km SW of Cantwell, Alaska",,,ak
2020-02-15T13:01:15.210Z,19.2150002,-155.4185028,33.11,2.45,56,140,0.02992,0.12,hv,hv71384272,"6km E of Pahala, Hawaii",0.6,4,hv
2020-02-15T12:49:12.350Z,33.6698333,-117.3785,8.17,1.08,31,62,0.04473,0.19,ci,ci39072583,"5km NW of Lakeland Village, CA",0.27,29,ci
2020-02-15T12:47:14.261Z,59.7543,-153.4164,117.6,1.9,,,,0.69,ak,ak02024a5a7d,"84km E of Old Iliamna, Alaska",,,ak
2020-02-15T12:32:07.590Z,17.9526,-66.8661,14,2.75,12,207,0.026,0.12,pr,pr2020046023,"3km SE of Maria Antonia, Puerto Rico",0.81,6,pr
2020-02-15T12:23:01.220Z,17.8681,-66.8335,9,3.08,11,240,0.1163,0.18,pr,pr2020046022,"13km SE of Guanica, Puerto Rico",0.75,4,pr
2020-02-15T12:16:50.700Z,18.0248,-66.8188,10,2.92,12,146,0.0782,0.16,pr,pr2020046021,"1km WNW of Indios, Puerto Rico",0.93,5,pr
2020-02-15T12:12:14.880Z,40.4186668,-124.3161697,30.61,1.72,6,286,0.09961,0.05,nc,nc73341340,"11km NNW of Petrolia, CA",4.22,2,nc
2020-02-15T12:09:56.810Z,17.8525,-66.8898,13,2.91,10,253,0.1231,0.1,pr,pr2020046019,"13km S of Guanica, Puerto Rico",0.97,5,pr
2020-02-15T12:04:16.151Z,61.4847,-146.3383,27.1,1.6,,,,1.01,ak,ak020249w233,"39km N of Valdez, Alaska",,,ak
2020-02-15T11:58:30.650Z,17.896,-66.9286,8,2.12,4,239,0.0933,0.08,pr,pr2020046017,"8km SSW of Guanica, Puerto Rico",0.82,3,pr
2020-02-15T11:54:33.890Z,17.956,-66.9901,7,2.4,11,215,0.1125,0.08,pr,pr2020046018,"6km ESE of La Parguera, Puerto Rico",0.82,4,pr
2020-02-15T11:48:57.210Z,35.6673333,-117.4683333,1.36,1.15,18,144,0.08081,0.16,ci,ci39072559,"13km SSW of Searles Valley, CA",0.34,15,ci
2020-02-15T11:45:24.920Z,35.8531667,-117.6833333,3.36,1.11,18,80,0.07911,0.14,ci,ci39072551,"22km ESE of Little Lake, CA",0.23,13,ci
2020-02-15T11:38:11.630Z,35.9206667,-117.7068333,6.44,1.23,17,59,0.05327,0.12,ci,ci39072535,"18km E of Little Lake, CA",0.24,17,ci
2020-02-15T11:37:47.860Z,40.2986679,-124.3498306,7.43,2.22,8,292,0.01162,0.09,nc,nc73341335,"6km WSW of Petrolia, CA",3.3,6,nc
2020-02-15T11:37:15.465Z,64.7067,-147.5489,0,1.6,,,,0.68,ak,ak020249hp1v,"10km S of Badger, Alaska",,,ak
2020-02-15T11:34:30.230Z,19.3316669,-155.1894989,4.2,2.36,55,86,0.04856,0.15,hv,hv71384227,"11km SSE of Volcano, Hawaii",0.29,27,hv
2020-02-15T11:23:52.920Z,17.8856,-66.8406,14,3.03,10,237,0.0975,0.11,pr,pr2020046020,"11km SE of Guanica, Puerto Rico",0.86,6,pr
2020-02-15T11:16:06.650Z,35.7155,-117.5341667,6.27,1.07,19,147,0.1125,0.17,ci,ci39072519,"13km WSW of Searles Valley, CA",0.35,12,ci
2020-02-15T11:16:03.910Z,36.67216667,-98.14566667,5.5,1.93,35,83,0.195261683,0.18,ok,ok2020dfby,"17km NE of Helena, Oklahoma",,6,ok
2020-02-15T11:14:43.691Z,64.4336,-150.2977,3.4,2.2,,,,0.77,ak,ak020249ctsk,"59km WSW of North Nenana, Alaska",,,ak
2020-02-15T11:05:00.061Z,23.8297,121.6061,2.53,5.2,,77,0.342,1.09,us,us70007qu3,"16km S of Hualian, Taiwan",3.1,127,us
2020-02-15T11:03:29.520Z,17.9148,-66.8433,10,2.85,11,217,0.0702,0.07,pr,pr2020046014,"8km SE of Maria Antonia, Puerto Rico",0.92,7,pr
2020-02-15T11:00:06.220Z,23.8442,121.5392,10,5.7,,35,0.332,1.05,us,us70007qtx,"16km SSW of Hualian, Taiwan",4.3,395,us
2020-02-15T10:59:34.800Z,37.6290016,-118.8960037,2.29,1.61,19,97,0.01538,0.02,nc,nc73341325,"7km E of Mammoth Lakes, CA",0.35,18,nc
2020-02-15T10:45:27.960Z,35.859333,-120.7350006,9.03,1.04,15,126,0.1595,0.05,nc,nc73341320,"6km E of Bradley, CA",0.9,2,nc
2020-02-15T10:06:42.540Z,17.8255,-66.8815,11,2.41,10,260,0.1496,0.09,pr,pr2020046015,"16km S of Guanica, Puerto Rico",0.74,3,pr
2020-02-15T09:45:57.351Z,3.5671,126.7298,46.66,4.7,,91,2.848,0.65,us,us70007qt5,"246km SE of Sarangani, Philippines",8.1,41,us
2020-02-15T09:44:09.900Z,19.2123337,-155.4165039,33.71,1.89,51,149,0.03081,0.13,hv,hv71384117,"6km E of Pahala, Hawaii",0.63,13,hv
2020-02-15T09:43:47.931Z,61.5796,-159.5687,0,1.9,,,,0.77,ak,ak020248c6o1,"69km S of Holy Cross, Alaska",,,ak
2020-02-15T09:39:16.063Z,-15.7057,179.8396,10,5.2,,66,2.653,0.96,us,us70007qt0,"92km NNE of Lambasa, Fiji",8.7,180,us
2020-02-15T09:32:03.830Z,36.6878333,-121.2878333,7.13,2.78,57,40,0.02891,0.14,nc,nc73341310,"12km SSE of Tres Pinos, CA",0.2,50,nc
2020-02-15T09:26:43.560Z,39.323,-119.0282,10.8,1.2,7,274.69,0.476,0.1301,nn,nn00717205,"19km ESE of Silver Springs, Nevada",,3,nn
2020-02-15T09:22:03.850Z,39.33,-119.0378,1.6,1.6,8,194.85,0.47,0.14,nn,nn00717177,"18km ESE of Silver Springs, Nevada",,,nn
2020-02-15T09:11:30.293Z,37.5912,-104.139,6.2,1.3,,165,0.5,0.25,us,us70007r8k,"56km NE of Trinidad, Colorado",2,8,us
2020-02-15T09:02:54.490Z,35.6628333,-117.5208333,0.97,1.23,17,81,0.08991,0.17,ci,ci39072423,"15km ENE of Ridgecrest, CA",0.29,17,ci
2020-02-15T08:47:58.905Z,39.3295,-119.0517,6,1.2,8,149.42,0.46,0.1669,nn,nn00717206,"17km ESE of Silver Springs, Nevada",,4,nn
2020-02-15T08:43:13.330Z,35.9598333,-117.5215,2.28,1.17,18,99,0.06939,0.13,ci,ci39072399,"24km NNW of Searles Valley, CA",0.26,13,ci
2020-02-15T08:34:35.075Z,63.2103,-150.3734,105.8,1.9,,,,0.46,ak,ak020247osnf,"74km WSW of Cantwell, Alaska",,,ak
2020-02-15T08:21:48.750Z,37.4495,-118.7678333,3.68,1.24,27,157,0.1205,0.05,nc,nc73341305,"15km SSW of Toms Place, CA",0.3,22,nc
2020-02-15T08:03:59.880Z,19.2046661,-155.4508362,36.45,2.19,54,118,0.05014,0.11,hv,hv71384017,"3km E of Pahala, Hawaii",0.54,30,hv
2020-02-15T08:03:09.850Z,17.8165,-66.8863,4,2.82,8,263,0.1588,0.09,pr,pr2020046012,"17km S of Guanica, Puerto Rico",0.56,6,pr
2020-02-15T07:46:02.250Z,17.8331,-66.8778,7,2.66,11,240,0.142,0.1,pr,pr2020046013,"15km SSE of Guanica, Puerto Rico",0.73,2,pr
2020-02-15T07:35:02.970Z,19.1936665,-155.4443359,36.5,2.2,56,132,0.0416,0.12,hv,hv71383982,"3km ESE of Pahala, Hawaii",0.54,33,hv
2020-02-15T07:25:23.380Z,17.956,-66.996,13,2.8,10,215,0.1183,0.15,pr,pr2020046011,"5km ESE of La Parguera, Puerto Rico",0.89,7,pr
2020-02-15T07:17:21.717Z,62.8369,-149.5614,82.3,4.2,,,,0.62,ak,ak020246zot2,"62km NNE of Talkeetna, Alaska",,,ak
2020-02-15T07:06:00.309Z,49.8977,155.7006,103.48,4.5,,125,3.449,0.77,us,us70007qrk,"92km SSW of Severo-Kuril'sk, Russia",4.9,32,us
2020-02-15T06:51:45.181Z,63.2303,-151.3402,11.5,1.5,,,,0.57,ak,ak020246llcq,"118km NNW of Talkeetna, Alaska",,,ak
2020-02-15T06:47:47.920Z,17.9653,-66.742,14,2.17,8,200,0.1375,0.24,pr,pr2020046010,"4km SW of Tallaboa, Puerto Rico",0.93,5,pr
2020-02-15T06:41:38.580Z,35.678,-117.5345,9.76,1.06,11,156,0.1467,0.18,ci,ci39072335,"14km ENE of Ridgecrest, CA",0.64,13,ci
2020-02-15T06:16:39.403Z,62.3757,-152.6509,85.3,2.2,,,,1.27,ak,ak020246e2uc,"131km W of Talkeetna, Alaska",,,ak
2020-02-15T06:15:43.260Z,34.0386667,-117.577,8.65,1.51,61,26,0.0363,0.2,ci,ci39072319,"5km ESE of Ontario, CA",0.21,28,ci
2020-02-15T06:15:43.200Z,34.036499,-117.5820007,8.93,1.52,68,46,0.03604,0.16,ci,ci39072327,"5km ESE of Ontario, CA",0.2,19,ci
2020-02-15T06:10:11.487Z,62.9232,-151.309,110.4,1.9,,,,0.37,ak,ak020246cqk6,"90km NW of Talkeetna, Alaska",,,ak
2020-02-15T06:08:55.650Z,35.6713333,-117.5401667,2.23,1.79,21,74,0.1515,0.15,ci,ci39072311,"14km ENE of Ridgecrest, CA",0.3,27,ci
2020-02-15T06:08:24.832Z,33.1608,136.8355,386.58,4,,142,1.882,0.63,us,us70007qqv,"101km SE of Shingu, Japan",11.3,23,us
2020-02-15T06:07:46.210Z,17.9258,-66.6971,9,2.59,10,208,0.1481,0.14,pr,pr2020046009,"7km SSE of Tallaboa, Puerto Rico",0.76,6,pr
2020-02-15T05:57:05.798Z,20.113,121.3866,26.82,4.9,,68,2.706,0.74,us,us70007qql,"56km WSW of Sabtang, Philippines",7.9,133,us
2020-02-15T05:49:48.100Z,33.5343333,-117.0913333,7.37,1.1,9,126,0.2441,0.2,ci,ci39072239,"7km ESE of Murrieta Hot Springs, CA",1.28,13,ci
2020-02-15T05:42:43.520Z,19.2163334,-155.4170074,32.6,1.88,38,146,0.02799,0.15,hv,hv71383872,"6km E of Pahala, Hawaii",0.76,3,hv
2020-02-15T05:40:03.930Z,35.145,-95.31216667,5.97,2.5,25,222,0.140372454,0.16,ok,ok2020deqw,"5km E of Quinton, Oklahoma",,11,ok
2020-02-15T05:32:24.313Z,63.0962,-150.4861,29,1.9,,,,1.14,ak,ak020245w1j3,"83km WSW of Cantwell, Alaska",,,ak
2020-02-15T05:25:44.580Z,38.7826667,-122.7423333,1.17,1.41,38,87,0.00442,0.06,nc,nc73341260,"1km ENE of The Geysers, CA",0.15,5,nc
2020-02-15T05:17:20.524Z,62.2831,-149.8507,19,1.5,,,,0.35,ak,ak020245stih,"13km N of Y, Alaska",,,ak
2020-02-15T05:16:34.150Z,17.8498,-66.8435,12,3.11,11,234,0.1303,0.1,pr,pr2020046007,"15km SSE of Guanica, Puerto Rico",0.69,7,pr
2020-02-15T05:16:26.500Z,35.6096667,-117.4591667,5.03,1.53,20,128,0.02325,0.15,ci,ci39072223,"18km SSW of Searles Valley, CA",0.39,22,ci
2020-02-15T05:06:01.730Z,17.9858,-66.8316,15,2.47,11,179,0.0488,0.15,pr,pr2020046008,"1km SW of Indios, Puerto Rico",0.91,7,pr
2020-02-15T05:04:42.120Z,47.7145,-113.7525,7.62,1.37,15,190,0.23,0.15,mb,mb80381909,"30km E of Polson, Montana",0.75,2,mb
2020-02-15T05:02:27.882Z,61.0426,-152.3416,111.5,1.6,,,,0.48,ak,ak020245pmbn,"65km NNE of Redoubt Volcano, Alaska",,,ak
2020-02-15T04:58:03.040Z,17.9811,-66.7438,12,2.32,11,192,0.1355,0.15,pr,pr2020046006,"3km WSW of Tallaboa, Puerto Rico",0.95,4,pr
2020-02-15T04:54:18.400Z,33.6671667,-117.3771667,7.55,1.5,46,54,0.04343,0.23,ci,ci39072215,"4km NW of Lakeland Village, CA",0.28,28,ci
2020-02-15T04:48:36.670Z,17.923,-66.6931,6,3.13,11,213,0.148,0.13,pr,pr2020046005,"16km SSE of Tallaboa, Puerto Rico",0.71,6,pr
2020-02-15T04:45:39.034Z,31.6622,-104.3748,5,2.4,,71,0.398,0.26,us,us70007qpl,"73km W of Mentone, Texas",1.4,18,us
2020-02-15T04:31:00.448Z,61.9961,-148.3903,22.8,1.8,,,,0.84,ak,ak020245acdi,"32km NE of Sutton-Alpine, Alaska",,,ak
2020-02-15T04:29:52.630Z,17.9215,-66.6195,5,2.63,5,208,0.122,0.17,pr,pr2020046004,"9km S of Ponce, Puerto Rico",0.83,3,pr
2020-02-15T04:23:08.316Z,37.576,-104.1448,5,1.5,,89,0.485,0.29,us,us70007r89,"55km NE of Trinidad, Colorado",1.7,10,us
2020-02-15T04:19:46.660Z,19.2019997,-155.4241638,31.97,2.05,34,151,0.04338,0.15,hv,hv71383797,"5km E of Pahala, Hawaii",0.74,3,hv
2020-02-15T04:04:22.879Z,35.10133333,-95.38266667,7.19,2.35,61,199,0.123275809,0.22,ok,ok2020dens,"2km SSW of Quinton, Oklahoma",,11,ok
2020-02-15T03:44:25.100Z,35.9176667,-117.7041667,8.38,1.48,23,54,0.05306,0.13,ci,ci39072175,"18km E of Little Lake, CA",0.22,23,ci
2020-02-15T03:43:47.632Z,61.2839,-151.2864,49.1,1,,,,0.4,ak,ak020244rkzv,"66km N of Nikiski, Alaska",,,ak
2020-02-15T03:41:37.597Z,-33.2012,-71.7971,28.85,3.5,,190,0.222,0.58,us,us70007qtj,"23km SW of Valparaiso, Chile",5.7,50,us
2020-02-15T03:31:56.276Z,41.7969,79.2784,10,5.1,,65,0.959,1.1,us,us70007qp2,"99km SE of Teploklyuchenka, Kyrgyzstan",4.3,134,us
2020-02-15T03:29:51.350Z,35.8963333,-117.7233333,9.65,1,14,60,0.07845,0.12,ci,ci39072167,"17km ESE of Little Lake, CA",0.25,13,ci
2020-02-15T03:13:35.010Z,35.6748333,-117.4685,2.59,1.31,19,113,0.08829,0.21,ci,ci39072159,"12km SSW of Searles Valley, CA",0.42,16,ci
2020-02-15T03:13:26.333Z,63.6587,-149.3412,63.7,1.5,,,,1.32,ak,ak020244l3vz,"28km SW of Healy, Alaska",,,ak
2020-02-15T03:09:31.260Z,46.74416667,-123.7508333,30.23,2.29,23,110,,0.35,uw,uw61574402,"6km NNW of Raymond, Washington",0.77,14,uw
2020-02-15T03:05:39.270Z,17.9766,-66.8478,12,3.63,12,188,0.0314,0.27,pr,pr2020046003,"11km S of Indios, Puerto Rico",1.11,4,pr
2020-02-15T02:57:27.145Z,64.9302,-148.956,14.1,1.1,,,,0.76,ak,ak02024493v2,"39km N of North Nenana, Alaska",,,ak
2020-02-15T02:54:49.530Z,19.2229996,-155.4011688,32.44,2,45,151,0.01484,0.12,hv,hv71383702,"8km ENE of Pahala, Hawaii",0.68,13,hv
2020-02-15T02:53:19.170Z,37.5575,-114.128,14.1,1.3,9,126,0.475,0.26,nn,nn00717163,"34km E of Caliente, Nevada",,,nn
2020-02-15T02:49:35.421Z,61.4711,-149.9838,40.4,1.4,,,,0.9,ak,ak0202447eq3,"5km SSW of Big Lake, Alaska",,,ak
2020-02-15T02:31:06.170Z,35.6801667,-117.5488333,7.14,1.55,26,73,0.1171,0.18,ci,ci39072135,"13km ENE of Ridgecrest, CA",0.29,25,ci
2020-02-15T02:29:21.890Z,34.548,-97.378,5.35,2.19,64,57,0.010797881,0.31,ok,ok2020deko,"22km WSW of Wynnewood, Oklahoma",,25,ok
2020-02-15T02:25:44.530Z,31.2321667,-115.916,5.05,2.86,8,214,0.1948,0.14,ci,ci39072127,"82km SE of Maneadero, B.C., MX",0.38,30,ci
2020-02-15T02:14:27.090Z,35.3463333,-116.7293333,9.22,1.89,15,49,0.07669,0.17,ci,ci39072119,"10km NNW of Fort Irwin, CA",0.37,26,ci
2020-02-15T02:11:14.520Z,48.65533333,-123.0268333,21.12,1.08,8,110,,0.3,uw,uw61574392,"13km N of Friday Harbor, Washington",1,4,uw
2020-02-15T02:10:36.043Z,60.9041,-150.9326,9.3,2.7,,,,0.66,ak,ak020243z1vm,"32km NNE of Nikiski, Alaska",,,ak
2020-02-15T02:01:10.205Z,63.0758,-150.3801,103.6,2.5,,,,0.43,ak,ak020243x2f2,"80km WSW of Cantwell, Alaska",,,ak
2020-02-15T01:53:17.350Z,19.5066662,-155.5871735,-0.85,1.81,5,152,0.02341,0.11,hv,hv71383612,"29km E of Honaunau-Napoopoo, Hawaii",0.47,3,hv
2020-02-15T01:52:00.740Z,19.2189999,-155.4196625,33.28,2.63,59,137,0.02788,0.14,hv,hv71383607,"4km NE of Pahala, Hawaii",0.55,26,hv
2020-02-15T01:47:20.560Z,19.3414993,-155.177002,4.01,2.17,29,113,0.03844,0.22,hv,hv71383597,"11km SSE of Volcano, Hawaii",0.52,14,hv
2020-02-15T01:41:35.530Z,35.666,-117.4703333,1.28,1.41,22,89,0.0796,0.16,ci,ci39072103,"13km SSW of Searles Valley, CA",0.29,17,ci
2020-02-15T01:39:06.890Z,37.1666667,-121.5505,3.95,1.23,34,65,,0.1,nc,nc73341215,"10km ENE of Morgan Hill, CA",0.19,23,nc
2020-02-15T01:32:26.640Z,63.0755,-150.4536,29.6,1.7,,,,1.21,ak,ak020243ibaw,"83km WSW of Cantwell, Alaska",,,ak
2020-02-15T01:28:03.760Z,35.8995018,-117.7031631,4.33,1.37,30,50,0.06456,0.14,ci,ci39072087,"19km ESE of Little Lake, CA",0.23,5,ci
2020-02-15T01:23:23.150Z,45.7665,-122.5106667,-0.96,1.29,7,314,,0.09,uw,uw61574382,"2km SE of Battle Ground, Washington",1.38,7,uw
2020-02-15T01:20:52.210Z,17.7935,-66.8795,8,2.05,8,250,0.1816,0.29,pr,pr2020046002,"19km S of Guanica, Puerto Rico",1.58,2,pr
2020-02-15T01:18:03.810Z,35.9405,-120.486,9.11,1.59,43,74,0.01315,0.08,nc,nc73341195,"7km NW of Parkfield, CA",0.24,19,nc
2020-02-15T01:08:59.630Z,17.9061,-66.838,11,1.92,10,220,0.0804,0.25,pr,pr2020046001,"9km SSW of Indios, Puerto Rico",1.32,5,pr
2020-02-15T01:08:00.310Z,35.9399986,-120.4851685,9.94,2.98,47,118,0.01281,0.06,nc,nc73341190,"7km NW of Parkfield, CA",0.22,61,nc
2020-02-15T01:02:06.840Z,17.9195,-66.798,6,2.4,12,215,0.0984,0.18,pr,pr2020046000,"8km SSE of Indios, Puerto Rico",1.02,5,pr
2020-02-15T00:55:44.409Z,34.54816667,-97.38383333,5.86,2.13,56,61,0.015296998,0.29,ok,ok2020dehm,"23km WSW of Wynnewood, Oklahoma",,26,ok
2020-02-15T00:54:44.020Z,60.6946,-151.6225,56.3,1.1,,,,0.52,ak,ak0202431ms1,"18km W of Nikiski, Alaska",,,ak
2020-02-15T00:52:24.120Z,33.4865,-116.5036667,10.24,1.13,33,46,0.0744,0.22,ci,ci39072039,"18km ESE of Anza, CA",0.29,27,ci
2020-02-15T00:38:37.317Z,59.5907,-152.9842,102.5,2,,,,0.33,ak,ak020242y6se,"68km WSW of Anchor Point, Alaska",,,ak
2020-02-15T00:38:23.740Z,37.5266667,-118.833,5.84,1.31,22,115,0.06333,0.04,nc,nc73341185,"14km WSW of Toms Place, CA",0.33,20,nc
2020-02-15T00:34:47.314Z,61.3309,-148.3345,20.5,1.8,,,,0.46,ak,ak020242xcqo,"44km ESE of Butte, Alaska",,,ak
2020-02-15T00:28:39.050Z,35.9416667,-120.4873333,9.45,2.45,60,74,0.01364,0.08,nc,nc73341180,"7km NW of Parkfield, CA",0.23,39,nc
2020-02-15T00:28:05.374Z,64.8828,-151.3885,8.1,1.9,,,,0.84,ak,ak020242vze0,"38km WSW of Manley Hot Springs, Alaska",,,ak
